Indicator,Year,Geography,FIPS,Cases,Rate per 100000
HIV deaths,2008,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2009,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2010,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2011,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2012,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2013,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2014,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2015,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2016,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2017,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2018,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2019,Northeast,83001,Data suppressed,Data suppressed
HIV deaths,2008,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2009,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2010,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2011,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2012,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2013,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2014,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2015,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2016,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2017,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2018,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2019,Midwest,83002,Data suppressed,Data suppressed
HIV deaths,2008,South,83003,Data suppressed,Data suppressed
HIV deaths,2009,South,83003,Data suppressed,Data suppressed
HIV deaths,2010,South,83003,Data suppressed,Data suppressed
HIV deaths,2011,South,83003,Data suppressed,Data suppressed
HIV deaths,2012,South,83003,Data suppressed,Data suppressed
HIV deaths,2013,South,83003,Data suppressed,Data suppressed
HIV deaths,2014,South,83003,Data suppressed,Data suppressed
HIV deaths,2015,South,83003,Data suppressed,Data suppressed
HIV deaths,2016,South,83003,Data suppressed,Data suppressed
HIV deaths,2017,South,83003,Data suppressed,Data suppressed
HIV deaths,2018,South,83003,Data suppressed,Data suppressed
HIV deaths,2019,South,83003,Data suppressed,Data suppressed
HIV deaths,2008,West,83004,Data suppressed,Data suppressed
HIV deaths,2009,West,83004,Data suppressed,Data suppressed
HIV deaths,2010,West,83004,Data suppressed,Data suppressed
HIV deaths,2012,West,83004,Data suppressed,Data suppressed
HIV deaths,2013,West,83004,Data suppressed,Data suppressed
HIV deaths,2014,West,83004,Data suppressed,Data suppressed
HIV deaths,2015,West,83004,Data suppressed,Data suppressed
HIV deaths,2016,West,83004,Data suppressed,Data suppressed
HIV deaths,2017,West,83004,Data suppressed,Data suppressed
HIV deaths,2018,West,83004,Data suppressed,Data suppressed
HIV deaths,2019,West,83004,Data suppressed,Data suppressed
HIV deaths,2011,West,83004,Data suppressed,Data suppressed
HIV deaths,2019,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2018,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2017,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2016,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2015,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2014,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2013,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2012,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2011,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2010,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2009,US Dependent Areas,83005,Data not available,Data not available
HIV deaths,2008,US Dependent Areas,83005,Data not available,Data not available
